Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux)
20240108150001,0.63271487,1012.3603,28.121002,51.86997,35434.77
20240108151001,0.63271487,1012.43787,27.876318,52.77471,33871.3
20240108152001,0.63271487,1012.2275,27.706812,53.758472,29597.299
20240108153001,0.63271487,1012.02295,27.441832,54.58827,27604.383
20240108154001,0.480707,1012.5113,26.406689,58.066723,17334.525
20240108155001,0.480707,1012.25464,26.319397,58.74615,17136.162
20240108160001,0.46897626,1012.35614,25.364428,60.202576,13773.664
20240108161001,0.46897626,1012.5057,24.96035,61.89913,10041.587
20240108162001,0.46897626,1012.3961,24.424376,64.111626,6638.3105
20240108163001,0.46897626,1012.21265,24.15265,65.118454,5542.8745
20240108164001,0.34860775,1012.47986,22.847038,69.455826,5172.1123
20240108165001,0.34860775,1012.68884,22.694925,70.1757,4708.2725
20240129090001,0.52904844,1019.74115,19.015371,99.30745,20302.56
20240129091001,0.52904844,1021.88226,19.369886,97.871925,21972.982
20240129092001,0.52904844,1020.666,19.72779,96.98935,22476.371
20240129093001,0.52904844,1020.53564,20.004725,95.76371,23540.008
20240129094001,0.671058,1020.10504,22.364561,87.12866,27290.91
20240129095001,0.671058,1020.2406,22.674736,85.64628,31189.152
20240129100001,0.6501064,1020.35944,23.866163,77.557236,43672.754
20240129101001,0.6501064,1020.2693,24.406874,75.14329,44454.324
20240129102001,0.6501064,1020.0894,24.813456,72.87756,45929.594
20240129103001,0.6501064,1019.83276,25.186691,71.24871,47997.51
20240129104001,0.30460727,1020.81134,28.99281,55.82949,53385.863
20240129105001,0.30460727,1019.21375,29.527065,54.086178,57036.54
20240129110001,0.30477023,1019.34296,29.918642,49.073555,42307.67
20240129111001,0.30477023,1019.3147,30.044788,48.7393,40235.13
20240129112001,0.30477023,1019.47687,30.109976,48.255238,30946.264
20240129113001,0.30477023,1019.5294,30.205313,47.630947,34183.35
20240129114001,0.1382081,1018.0825,29.506529,52.23758,40934.684
20240129115001,0.1382081,1018.22516,29.676292,51.21641,41656.703
20240129120001,0.1363102,1017.967,30.12578,48.69305,46788.004
20240129121001,0.1363102,1017.9272,30.177744,47.60185,47131.516
20240129122001,0.1363102,1017.6758,30.34754,47.11203,49729.418
20240129123001,0.1363102,1017.3922,30.387539,47.185375,59790.223
20240129124001,0.23505032,1019.13556,37.687973,35.268024,101071.58
20240129125001,0.23505032,1016.2159,37.710613,35.079285,99001.305
20240129130001,0.23085278,1016.6666,38.01823,32.912224,106491.05
20240129131001,0.23085278,1016.62695,37.803753,33.076393,99672.83
20240129132001,0.23085278,1016.33606,37.59339,33.830338,97571.016
20240129133001,0.23085278,1016.6848,37.511837,33.77783,92439.65
20240129134001,0.3206055,1017.66925,34.451023,36.352283,76631.67
20240129135001,0.3206055,1014.8787,34.561344,36.645912,71670.29
20240129140001,0.29955134,1015.93726,32.60333,38.946983,43597.688
20240129141001,0.29955134,1016.0382,31.965958,40.231915,31778.146
20240129142001,0.29955134,1015.9758,31.433405,42.561684,28678.393
20240129143001,0.29955134,1016.2154,31.020779,43.594944,24871.227
20240129144001,0.3846713,1015.89844,28.511318,51.9041,21548.822
20240129145001,0.3846713,1015.2141,28.472046,52.25944,20159.477
20240129150001,0.388907,1014.62115,27.990454,53.467117,21596.621
20240129151001,0.388907,1014.62244,27.723846,53.92937,19449.436
20240129152001,0.388907,1014.5109,27.525448,54.590916,17098.037
20240129153001,0.388907,1014.29236,27.317091,55.005592,16040.5
20240129154001,0.14413308,1014.77094,25.349289,59.978848,11437.613
20240129155001,0.14413308,1014.65594,25.309141,59.963,10971.83
20240129160001,0.14483133,1017.5722,24.821362,61.610306,8659.764
20240129161001,0.14483133,1018.2463,24.563877,62.56255,6208.9766
20240129162001,0.14483133,1015.0639,24.253872,64.08364,4708.92
20240129163001,0.14483133,1014.9046,24.01114,64.89028,4655.244
20240129164001,-0.022417365,1015.2415,22.32149,71.56253,2748.6318
20240129165001,-0.022417365,1015.42664,22.239647,71.64739,2528.4082
20240217090001,0.19513159,1013.825,33.104877,69.18837,66619.63
20240217091001,0.19513159,1013.7629,33.395172,66.49118,55119.934
20240217092001,0.19513159,1013.60736,34.17167,64.51713,80913.58
20240217093001,0.19513159,1013.3772,34.409462,64.014656,85001.49
20240217094001,0.28741813,1013.0447,37.74224,50.399204,85006.266
20240217095001,0.28741813,1012.9075,37.87891,49.530384,98938.25
20240217100001,0.30320773,1013.3477,38.69851,44.165585,108895.07
20240217101001,0.30320773,1013.18945,38.6125,42.37337,107860.59
20240217102001,0.30320773,1012.9824,38.69189,41.098843,108315.64
20240217103001,0.30320773,1012.70764,38.85342,40.923725,105873.6
20240217104001,0.37310588,1012.4163,39.886528,40.501392,96146.84
20240217105001,0.37310588,1012.5247,39.866558,39.1285,111987.79
20240217110001,0.38938716,1012.7752,41.43953,34.2782,119932.39
20240217111001,0.38938716,1012.20984,41.334805,34.144974,114177.53
20240217112001,0.38938716,1012.2335,41.143803,34.28045,110888.305
20240217113001,0.38938716,1011.96985,40.628498,34.60113,113373.766
20240217114001,0.7149401,1016.7036,40.64892,34.22735,117188.0
20240217115001,0.7149401,1007.3738,40.400974,34.374996,116826.14
20240217120001,0.72576034,1010.93445,39.754005,35.820175,117935.766
20240217121001,0.72576034,1010.50507,39.52288,36.27057,112592.43
20240217122001,0.72576034,1010.125,39.11891,36.86123,103781.15
20240217123001,0.72576034,1015.4156,38.45909,37.588303,73580.96
20240217124001,0.9555776,1011.4155,32.92812,45.05914,48145.066
20240217125001,0.9555776,1010.2526,32.683983,45.617523,42936.74
20240217130001,0.93931675,1010.8404,32.052986,47.81537,71826.71
20240217131001,0.93931675,1010.4683,31.789307,48.4237,58750.016
20240217132001,0.93931675,1010.8204,31.386412,49.466686,41497.746
20240217133001,0.93931675,1010.6316,30.84577,50.53336,26754.766
20240217134001,0.82190025,1010.019,29.112099,57.82164,19751.967
20240217135001,0.82190025,1010.0185,28.912973,58.505753,18761.121
20240217140001,0.82132345,1010.2616,27.80441,61.775642,17711.553
20240217141001,0.82132345,1010.2059,27.505075,62.62776,15461.12
20240217142001,0.82132345,1010.15784,27.15975,64.032196,15480.616
20240217143001,0.82132345,1009.874,26.812847,65.03516,14211.894
20240217144001,0.5033342,1009.8472,27.339565,66.98918,20436.346
20240217145001,0.5033342,1009.65985,27.17348,67.3347,19892.506
20240217150001,0.5013713,1010.0392,27.143349,66.90333,22910.28
20240217151001,0.5013713,1010.13184,26.950048,67.365326,22729.928
20240217152001,0.5013713,1010.0173,26.774006,68.190636,19436.984
20240217153001,0.5013713,1010.0573,26.58314,68.7379,18337.527
20240217154001,0.43907657,1009.86426,27.372395,73.464005,15588.849
20240217155001,0.43907657,1010.3391,27.210974,73.8234,15478.76
20240217160001,0.42625216,1010.1478,26.62661,72.93011,14698.686
20240217161001,0.42625216,1010.3214,26.308838,74.338715,12914.769
20240217162001,0.42625216,1010.2236,25.98768,75.91378,10417.415
20240217163001,0.42625216,1010.0287,25.80199,77.260315,8049.196
20240217164001,0.28748348,1009.7615,24.603199,82.49081,5994.8643
20240217165001,0.28748348,1010.61566,24.42946,83.2679,5975.0547
20240228090001,0.32472554,1014.63654,35.169975,50.634182,83628.516
20240228091001,0.32472554,1014.4876,35.801052,48.234272,86106.08
20240228092001,0.32472554,1014.31665,36.65436,46.009163,90121.79
20240228093001,0.32472554,1014.0709,36.972404,44.792294,91773.84
20240228094001,0.46762007,1019.3474,38.84289,37.664597,97108.914
20240228095001,0.46762007,1019.5761,38.844437,37.313778,100803.89
20240228100001,0.47762614,1001.5908,39.692024,35.75062,105963.734
20240228101001,0.47762614,1004.5108,39.596264,35.637848,105940.37
20240228102001,0.47762614,1019.29785,39.661903,35.18273,105258.04
20240228103001,0.47762614,1018.87836,39.626366,35.032974,106208.836
20240228104001,0.839694,1012.53143,39.908073,33.604794,107851.07
20240228105001,0.839694,1012.77167,39.654636,33.528015,98939.96
20240228110001,0.84449893,1012.845,39.762554,32.854023,112140.734
20240228111001,0.84449893,1004.68805,39.723602,33.229984,109871.836
20240228112001,0.84449893,1011.40027,39.686855,33.510914,107675.04
20240228113001,0.84449893,1011.97705,39.34982,33.646362,104684.37
20240228114001,1.4035938,1011.652,40.30848,32.68082,110827.29
20240228115001,1.4035938,1011.7875,40.081665,32.91108,107634.38
20240228120001,1.4039575,1011.7164,39.187458,34.029167,105029.85
20240228121001,1.4039575,1007.1153,38.901398,34.689465,104380.39
20240228122001,1.4039575,1011.52985,38.473953,35.64303,87336.77
20240228123001,1.4039575,1011.03625,37.935703,36.248817,77733.49
20240228124001,1.2172452,1010.35205,34.879223,41.786858,37489.39
20240228125001,1.2172452,1010.62726,34.594994,42.350246,32817.145
20240228130001,1.2172452,1010.6227,32.603336,44.19235,23429.725
20240228131001,1.2172452,1010.33923,32.231316,45.096447,19661.363
20240228132001,1.2172452,1010.44836,31.90751,46.165234,16478.416
20240228133001,1.2172452,1009.9939,31.568682,46.95426,15720.495
20240228134001,0.985958,1009.7562,28.891075,57.30926,25419.705
20240228135001,0.985958,1009.5915,28.700552,57.987312,21169.047
20240228140001,0.9760197,1009.90137,27.961344,58.25118,18020.145
20240228141001,0.9760197,1009.9157,27.674072,59.251038,16172.744
20240228142001,0.9760197,1009.72675,27.444162,60.776283,13028.424
20240228143001,0.9760197,1009.3628,27.161253,61.526962,12289.692
20240228144001,0.64321804,1009.71094,25.931957,66.17817,8625.022
20240228145001,0.64321804,1009.27155,25.789478,66.90739,8150.0566
20240228150001,0.63323367,1007.37726,25.68369,68.10536,7584.32
20240228151001,0.63323367,1007.4466,25.425089,68.87697,6455.9272
20240228152001,0.63323367,1007.43,25.244457,69.65415,5164.6924
20240228153001,0.63323367,1007.16656,25.071491,70.175026,4562.3174
20240228154001,0.40808973,1009.2041,23.542356,77.211586,2441.5618
20240228155001,0.40808973,1009.3243,23.44406,77.655,1826.9255
20240228160001,0.3947774,1009.6135,23.124617,79.37147,2160.2126
20240228161001,0.3947774,1009.5842,22.851221,79.87638,1228.1444
20240228162001,0.3947774,1009.67615,22.624594,81.20819,901.64014
20240228163001,0.3947774,1009.4353,22.510187,81.4167,297.97522
20240228164001,0.3024769,1011.75037,22.024368,91.03695,935.6594
20240228165001,0.3024769,1010.2763,21.909239,91.55371,1257.7804
20240317090001,0.3045221,1000.50354,38.42102,44.015965,73977.03
20240317091001,0.3045221,1008.5093,38.89232,41.95201,80834.12
20240317092001,0.3045221,1008.0728,39.901253,39.89835,85137.03
20240317093001,0.3045221,1017.2806,40.226803,38.854584,87723.51
20240317094001,0.43999684,1013.41595,43.184696,33.718563,86284.91
20240317095001,0.43999684,1013.60315,43.466824,33.391083,93146.81
20240317100001,0.43273175,1011.3886,44.19493,31.741674,96208.516
20240317101001,0.43273175,1010.9679,44.269867,31.971933,97291.44
20240317102001,0.43273175,1010.4875,44.51346,31.897581,98254.97
20240317103001,0.43273175,1013.4258,44.53377,32.161987,97741.94
20240317104001,0.5169321,1012.1193,45.885254,29.61193,101838.17
20240317105001,0.5169321,1012.35706,45.67581,29.71084,101092.98
20240317110001,0.521737,1010.841,45.36084,29.468912,106519.2
20240317111001,0.521737,1010.1181,45.26772,29.831282,104370.4
20240317112001,0.521737,1009.95465,44.967106,30.42965,97090.03
20240317113001,0.521737,1011.9379,44.484047,30.908913,93774.88
20240317114001,0.83909124,1009.5642,40.79271,37.6558,76496.87
20240317115001,0.83909124,1009.70636,40.66493,37.915062,60243.71
20240317120001,0.83574104,1010.1625,38.39543,39.889668,64840.715
20240317121001,0.83574104,1009.78326,37.974537,40.838318,45790.43
20240317122001,0.83574104,1009.7669,37.16988,42.4639,28590.4
20240317123001,0.83574104,1009.1924,36.59758,44.17097,22235.623
20240317124001,0.71723735,1009.58936,34.515095,49.85043,31815.564
20240317125001,0.71723735,1008.9296,34.364647,50.522404,26931.309
20240317130001,0.71723735,1009.27325,33.6055,51.22559,23473.588
20240317131001,0.71723735,1009.6083,33.22998,52.607574,22200.857
20240317132001,0.71723735,1008.9714,32.958435,53.970455,20410.244
20240317133001,0.71723735,1008.5999,32.619244,54.778378,18522.664
20240317134001,0.40403175,1009.2411,32.897728,54.53121,31211.568
20240317135001,0.40403175,1009.36255,32.74745,55.699238,31345.314
20240317140001,0.39024103,1008.2654,31.913565,57.13106,21632.602
20240317141001,0.39024103,1007.8226,31.596754,58.17618,20200.926
20240317142001,0.39024103,1007.4066,31.393744,59.42551,16789.832
20240317143001,0.39024103,1009.11444,31.117083,60.090218,15645.849
20240317144001,0.2336638,1008.1094,30.462313,63.516582,13400.596
20240317145001,0.2336638,1008.1616,30.305983,64.50612,12645.107
20240317150001,0.2008243,1008.4808,29.981043,64.608215,11188.863
20240317151001,0.2008243,1008.6364,29.743025,65.86762,9647.765
20240317152001,0.2008243,1008.4853,29.632284,67.03165,8097.1836
20240317153001,0.2008243,1008.1351,29.425901,67.80382,7742.899
20240317154001,-0.040291857,1008.3114,28.909668,71.43035,8194.103
20240317155001,-0.040291857,1008.36646,28.814722,72.20944,8174.1157
20240317160001,-0.049583573,1008.6368,28.571001,73.62106,8730.465
20240317161001,-0.049583573,1008.74243,28.456278,73.85758,8298.348
20240317162001,-0.049583573,1008.66205,28.239546,75.25004,7549.8623
20240317163001,-0.049583573,1008.4011,28.147127,76.13624,7043.75
20240317164001,0.010147235,1007.99005,27.856068,76.31301,4428.58
20240317165001,0.010147235,1008.01654,27.662888,76.98643,4478.501
20240422090001,0.26589856,1004.51636,48.64558,30.892311,71331.92
20240422091001,0.26589856,1004.4386,48.965122,30.49156,69816.164
20240422092001,0.26589856,1004.4363,48.893456,29.806763,70339.664
20240422093001,0.26589856,1004.3638,49.06709,29.354126,67520.95
20240422094001,0.2855514,1004.33276,46.03452,33.124695,56189.64
20240422095001,0.2855514,1004.3429,46.0866,33.06816,51767.39
20240422100001,0.2712474,1004.33734,44.671616,35.608906,37057.816
20240422101001,0.2712474,1004.254,44.554146,36.011543,33186.57
20240422102001,0.2712474,1004.1923,44.254974,36.65722,35619.79
20240422103001,0.2712474,1004.06305,44.15416,36.74424,45383.52
20240422104001,0.47665703,1004.09674,42.088593,40.91196,36716.527
20240422105001,0.47665703,1004.1544,41.990627,41.496166,35103.684
20240422110001,0.480984,1003.9843,42.10593,42.017017,63469.09
20240422111001,0.480984,1003.86835,42.245068,41.536057,66037.1
20240422112001,0.480984,1003.80347,42.169018,41.868706,65769.36
20240422113001,0.480984,1003.67596,42.23393,41.435818,79610.2
20240422114001,1.0753329,1003.3036,44.053963,37.43338,93299.016
20240422115001,1.0753329,1003.2821,43.834118,37.823784,84224.6
20240422120001,1.0726804,1003.1446,42.12058,40.533607,49134.332
20240422121001,1.0726804,1002.9843,41.580822,42.43915,47269.44
20240422122001,1.0726804,1002.92395,41.294125,43.107304,51421.64
20240422123001,1.0726804,1002.8149,41.254036,43.215336,67531.35
20240422124001,0.77987975,1002.35474,40.818165,44.751316,45815.633
20240422125001,0.77987975,1002.3435,40.575443,45.381737,43772.336
20240422130001,0.7739975,1002.22705,39.33683,46.618156,43668.324
20240422131001,0.7739975,1002.0752,38.81041,48.767467,40146.355
20240422132001,0.7739975,1002.0338,38.33793,50.247696,36118.383
20240422133001,0.7739975,1001.9288,38.127148,50.847534,35062.45
20240422134001,0.6071552,1001.8922,37.735775,52.37059,31477.764
20240422135001,0.6071552,1001.89526,37.58408,53.7293,34835.3
20240422140001,0.52767897,1001.91284,37.51388,52.913628,29521.492
20240422141001,0.52767897,1001.82104,37.148315,54.437725,28666.879
20240422142001,0.52767897,1001.8014,36.682243,56.22595,29535.373
20240422143001,0.52767897,1001.7184,36.465057,57.139618,31131.383
20240422144001,0.42793566,1001.3745,35.160934,60.931107,20951.943
20240422145001,0.42793566,1001.3992,34.906395,62.661213,17873.912
20240422150001,0.39373517,1001.3999,32.78834,72.84639,10705.915
20240422151001,0.39373517,1001.38275,32.22036,76.35891,8437.751
20240422152001,0.39373517,1001.3704,31.663427,79.52058,7532.1367
20240422153001,0.39373517,1001.3173,31.458668,81.170044,8074.7876
20240422154001,0.054977786,1001.42017,29.187695,98.74089,9856.827
20240422155001,0.061996408,1001.51447,29.021936,99.50465,11715.179
20240422160001,0.041972935,1001.52075,28.353485,100.57349,9788.627
20240422161001,0.041972935,1001.5368,28.181606,100.67183,7174.2773
20240422162001,0.041972935,1001.5054,27.905222,101.2517,4265.7163
20240422163001,0.041972935,1001.49994,27.816319,101.41434,4080.8926
20240422164001,0.18745837,1001.50916,26.652332,99.801704,5285.8955
20240422165001,0.18745837,1001.7041,26.493282,100.29498,5228.8745
20240625090001,-0.035109438,1006.47125,46.42347,90.03745,58230.36
20240625091001,-0.035109438,1006.38885,46.82042,85.90565,61284.613
20240625092001,-0.035109438,1006.3468,47.277225,81.88665,62298.906
20240625093001,-0.035109438,1006.3076,47.435337,79.32421,63309.74
20240625094001,-0.031480342,1006.1753,49.621487,53.40028,66894.32
20240625095001,-0.031480342,1006.1491,49.694927,51.54707,70521.5
20240625100001,-0.029474424,1006.077,50.12156,36.963818,78252.516
20240625101001,-0.029474424,1005.97375,50.47262,33.819653,79365.945
20240625102001,-0.029474424,1005.898,50.595596,33.22005,80122.52
20240625103001,-0.029474424,1005.8108,50.628014,33.239944,80021.16
20240625104001,-0.03605686,1005.8383,50.057655,34.304024,76034.734
20240625105001,-0.03605686,1005.7858,50.101498,34.372955,75834.73
20240625110001,-0.033325866,1005.6597,50.191814,31.37248,79462.37
20240625111001,-0.033325866,1005.4399,50.298782,30.819973,80636.234
20240625112001,-0.033325866,1005.3689,50.251938,31.1071,71455.19
20240625113001,-0.033325866,1005.32104,49.995613,31.235191,81033.68
20240625114001,-0.025040407,1005.23773,49.36124,34.021824,81204.375
20240625115001,-0.025040407,1005.1899,49.610767,33.65859,87822.28
20240625120001,-0.02467664,1005.11664,48.63278,33.486706,76340.63
20240625121001,-0.02467664,1004.98566,48.521675,33.576767,72262.51
20240625122001,-0.02467664,1004.9069,48.349422,33.89861,69685.37
20240625123001,-0.02467664,1004.82294,48.114002,34.04168,69581.305
20240625124001,-0.024853509,1004.5415,46.326035,40.056873,69108.93
20240625125001,-0.024853509,1004.4906,46.31601,40.329556,65602.36
20240625130001,-0.024853509,1004.4642,46.42989,38.179306,68483.695
20240625131001,-0.024853509,1004.3249,46.175053,38.599937,61393.613
20240625132001,-0.024853509,1004.2512,45.888622,39.296753,53123.227
20240625133001,-0.024853509,1004.1705,45.5259,39.958652,49913.004
20240625134001,-0.021029271,1004.3518,46.87567,33.743465,55587.215
20240625135001,-0.021029271,1004.3029,46.840435,34.205658,53435.31
20240625140001,-0.023584232,1004.319,46.13727,36.145878,52011.254
20240625141001,-0.023584232,1004.1876,45.538513,36.89027,47630.277
20240625142001,-0.023584232,1004.1647,45.007877,38.478146,42077.473
20240625143001,-0.023584232,1004.12946,44.34851,39.501827,36701.04
20240625144001,-0.029554112,1003.9125,44.021793,40.77795,32788.08
20240625145001,-0.029554112,1003.9047,43.668125,41.514786,28592.695
20240625150001,-0.029757967,1003.8472,42.91208,43.512238,30458.094
20240625151001,-0.029757967,1003.7788,42.81168,43.792423,32453.037
20240625152001,-0.029757967,1003.74835,42.44927,44.9002,30249.072
20240625153001,-0.029757967,1003.71515,42.040306,45.559483,27785.29
20240625154001,-0.009573697,1003.674,41.904255,45.470234,25735.059
20240625155001,-0.009573697,1003.68945,41.6152,46.121773,23116.076
20240625160001,-0.01382555,1003.7639,40.79032,46.929806,19067.207
20240625161001,-0.01382555,1003.74146,40.297283,48.633522,13657.315
20240625162001,-0.01382555,1003.7339,38.925774,51.235252,10774.864
20240625163001,-0.01382555,1003.7434,38.48006,52.020687,9462.001
20240625164001,-0.035112217,1003.9154,38.07326,56.32101,7721.9355
20240625165001,-0.035112217,1004.31366,37.68807,56.26386,6468.094
20240208090002,0.31458804,1013.34863,17.603767,96.0738,11255.874
20240208091002,0.31458804,1013.3056,17.915066,95.23355,12670.922
20240208092002,0.31458804,1013.3262,18.390764,94.19921,14543.046
20240208093002,0.31458804,1013.3255,18.599297,93.36083,15337.715
20240208094002,0.37687048,1013.19714,20.53976,94.682236,28382.41
20240208095002,0.37687048,1013.1994,20.938002,93.21541,31736.957
20240208100002,0.38692492,1013.1114,21.926813,90.81139,39103.78
20240208101002,0.38692492,1012.95624,22.290182,89.35478,38870.086
20240208102002,0.38692492,1012.90906,22.712324,87.69011,38181.78
20240208103002,0.38692492,1012.85266,22.966312,86.891815,39963.227
20240208104002,0.41257316,1012.6393,22.573982,82.52575,31569.37
20240208105002,0.41257316,1012.3732,22.911509,80.59573,34836.387
20240208110002,0.41750053,1012.4653,23.163692,80.137184,34657.79
20240208111002,0.41750053,1012.3728,23.09772,79.50584,30977.027
20240208112002,0.41750053,1012.2645,23.240486,79.252815,25165.416
20240208113002,0.41750053,1012.26556,23.259422,78.81271,27741.879
20240208114002,0.42614445,1011.8853,21.719858,83.67478,29427.805
20240208115002,0.42614445,1011.9187,21.980637,82.7955,28513.34
20240208120002,0.4328367,1011.9351,22.10674,81.57693,27297.516
20240208121002,0.4328367,1011.81494,22.113588,81.13235,27381.395
20240208122002,0.4328367,1011.7111,22.187323,80.5546,25692.693
20240208123002,0.4328367,1011.62427,22.190128,79.94162,29095.607
20240208124002,0.3967675,1011.1819,22.337751,84.93206,34280.902
20240208125002,0.3967675,1011.20404,22.460821,84.29961,32923.59
20240208130002,0.401186,1011.18494,22.605577,82.244286,33144.793
20240208131002,0.401186,1011.06683,22.63898,81.52925,34557.76
20240208132002,0.401186,1010.9709,22.779402,80.93859,40093.117
20240208133002,0.401186,1010.8793,22.953382,80.42997,53882.785
20240208134002,1.033636,1010.5446,27.420391,58.271145,88252.39
20240208135002,1.033636,1010.2904,27.313147,58.643097,82031.98
20240208140002,1.0300243,1010.40424,26.91325,56.918987,48379.906
20240208141002,1.0300243,1010.3443,26.451574,57.971268,40169.3
20240208142002,1.0300243,1010.23975,26.108656,59.44169,28730.26
20240208143002,1.0300243,1010.2624,25.787699,60.00769,26059.791
20240208144002,0.8387137,1010.15405,21.682444,66.077194,10463.219
20240208145002,0.8387137,1010.2943,21.583984,66.36587,9145.216
